Time Stamp,Total USD,%ETH
7/25/17 9:30,#ERROR!,#ERROR!
7/25/17 10:30,41443.16392,80.17410276
7/25/17 11:30,#ERROR!,#ERROR!
7/25/17 12:27,40526.65902,80.50806596
7/25/17 13:22,40593.85442,80.66603895
7/25/17 14:27,40067.96185,80.7508397
7/25/17 15:30,#ERROR!,#ERROR!
7/25/17 16:28,39733.81653,80.65623009
7/25/17 17:30,#ERROR!,#ERROR!
7/25/17 18:30,40509.39519,80.94415851
7/25/17 19:30,#ERROR!,#ERROR!
7/25/17 20:30,41222.33723,80.78896252
7/25/17 21:30,#ERROR!,#ERROR!
